[Header]
Recipe;HDI
Name;HDI
Description;- serial setting for Hyundai
Date Time;26.03.2026 07:06:31
Position - Min [mm]/Max [mm]/Step Back [mm];4.0;8.0;3.0
Stabilization [s];40.0
Pressure - Init [Bar]/Dev [Bar];4.0;0.005
SDM Current - Hold [mA]/Pull [mA];3000;12000
SDM PullIn Time [us];1400
SDM [rpm];900
SDM Opening Time [ms];10
SDM Click Time [ms];6000
Power Supply - Voltage [V]/Current [A];24.0;2.0
Aeff - Target [mm2]/Offset [mm2]/Min [mm2]/Max [mm2]/Offset Max [mm2];11.700;0.000;11.466;11.934;0.800
Aeff from Meas [active];1
Error - Status/Code/Source;0;0;

[Results]
Pressure Atm [bar];1.0108
Temperature [C];23.9249
Temperature Gas [C];23.9699
Aeff Pre-Adj1 [mm2];12.2489
Aeff Pre-Adj2 [mm2];12.0890
Aeff Pre-Adj Diff [mm2];0.1599
Aeff Calc Final [mm2];11.7833
Aeff Meas Final [mm2];11.7426

[Measurement]
Time;Aeff Target;Aeff Calc Actual;Aeff Meas Actual;Aeff Target Step;Force;Position;Pressure S1;Pressure S2;Pressure S3;Pressure S4;Flow Calc;Flow Meas
[s];[mm2];[mm2];[mm2];[mm2];[N];[mm];[Bar];[Bar];[Bar];[Bar];[g/s];[g/s]
0.00;11.700;NaN;0.314;11.700;11.194;3.996;3.204;-0.012;0.010;-0.015;NaN;0.024
0.02;11.700;NaN;0.314;11.700;11.454;3.998;3.204;-0.012;0.010;-0.015;NaN;0.024
0.04;11.700;NaN;0.314;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.06;11.700;NaN;0.314;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.08;11.700;NaN;0.314;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.10;11.700;NaN;0.314;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.12;11.700;NaN;0.313;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.14;11.700;NaN;0.314;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.16;11.700;NaN;0.314;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.18;11.700;NaN;0.314;11.700;11.568;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.20;11.700;NaN;0.312;11.700;11.546;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.22;11.700;NaN;0.311;11.700;11.546;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.24;11.700;NaN;0.311;11.700;11.546;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
0.26;11.700;NaN;0.312;11.700;11.546;3.999;3.204;-0.012;0.010;-0.015;NaN;0.024
