[Header]
Recipe;HDI
Name;HDI
Description;- serial EOL recipe for Hyundai
Date Time;26.03.2026 13:03:05
SDM - Hold Current [mA];3000
SDM - Pull Current [mA];12000
SDM - PullIn Time [us];1400
SDM - Boost Time [us];1400
Cycle;300
Range [ms];4000
Stabilization [ms];10000
Pressure In Dev [Bar];0.003
Pressure Out Dev [Bar];0.003
Error - Status/Code/Source;0;0;

[Conditions]
Pressure Atm S10 [bar];1.013
Temperature S9 [C];22.927
Temperature Gas S11 [C];21.813
Temperature Gas S12 [C];22.504

[Results]
Step;Time;Pressure In;Pressure Out;Speed;Opening Time;Aeff Min;Aeff Max;Aeff Mean;Pressure S3 Mean; Pressure S4 Mean;Flow Mean;Aeff StdDev Max;Aeff StdDev;Pressure S3 StdDev;Pressure S4 StdDev;Flow StdDev;Range
;[s];[Bara];[Bara];[rpm];[ms];[mm2];[mm2];[mm2];[Bara];[Bara];[m3/h];[mm2];[mm2];[Bar];[Bar];[m3/h];
1;0.0;15.000;0.000;720.000;6.000;0.000;0.000;11.984;9.918;1.144;5.607;0.000;0.099;0.602;0.015;0.371;0
2;35.0;10.000;0.000;720.000;6.000;0.000;0.000;11.849;9.406;1.130;5.256;0.000;0.009;0.005;0.002;0.003;0
3;70.1;10.000;0.000;720.000;8.000;0.000;0.000;12.115;9.320;1.213;7.099;0.000;0.008;0.006;0.002;0.008;0
4;105.2;10.000;0.000;720.000;10.000;0.000;0.000;12.384;9.251;1.311;9.004;0.000;0.004;0.005;0.003;0.005;0
5;140.2;8.000;0.000;900.000;6.000;0.000;0.000;12.148;7.988;1.142;5.721;0.000;0.025;0.029;0.001;0.028;0
6;170.3;8.000;0.000;900.000;10.000;0.000;0.000;12.507;8.000;1.345;9.830;0.000;0.008;0.017;0.001;0.019;0
7;200.4;6.000;0.000;1200.000;6.000;0.000;0.000;12.290;5.964;1.137;5.762;0.000;0.040;0.016;0.001;0.030;0
8;225.5;6.000;0.000;1200.000;8.000;0.000;0.000;12.353;5.983;1.225;7.746;0.000;0.019;0.016;0.002;0.031;0
9;250.5;6.000;0.000;1200.000;10.000;0.000;0.000;12.383;5.999;1.325;9.733;0.000;0.005;0.012;0.001;0.023;0

[Measurement]
Step;Time;Pressure In;Pressure Out;Aeff;Pressure S3;Pressure S4;Flow
;[s];[Bara];[Bara];[mm2];[Bara];[Bara];[m3/h]
1;0.0;15.000;0.000;12.018;11.327;1.178;6.419
1;0.1;15.000;0.000;12.020;11.308;1.181;6.409
1;0.2;15.000;0.000;12.023;11.290;1.181;6.401
1;0.3;15.000;0.000;12.022;11.279;1.181;6.394
1;0.4;15.000;0.000;12.021;11.268;1.181;6.387
1;0.5;15.000;0.000;12.025;11.245;1.176;6.377
1;0.6;15.000;0.000;12.021;11.240;1.177;6.372
1;0.7;15.000;0.000;12.025;11.216;1.179;6.360
1;0.8;15.000;0.000;12.028;11.201;1.178;6.353
1;0.9;15.000;0.000;12.032;11.179;1.174;6.343
1;1.0;15.000;0.000;12.031;11.165;1.173;6.334
1;1.1;15.000;0.000;12.031;11.151;1.173;6.326
1;1.2;15.000;0.000;12.033;11.136;1.172;6.319
1;1.3;15.000;0.000;12.034;11.114;1.172;6.307
1;1.4;15.000;0.000;12.032;11.107;1.176;6.302
1;1.5;15.000;0.000;12.034;11.090;1.172;6.294
1;1.6;15.000;0.000;12.031;11.081;1.172;6.287
1;1.7;15.000;0.000;12.034;11.058;1.174;6.275
1;1.8;15.000;0.000;12.038;11.037;1.170;6.265
1;1.9;15.000;0.000;12.041;11.022;1.170;6.258
1;2.0;15.000;0.000;12.039;11.008;1.169;6.249
1;2.1;15.000;0.000;12.040;10.995;1.169;6.243
1;2.2;15.000;0.000;12.040;10.980;1.168;6.234
1;2.3;15.000;0.000;12.039;10.962;1.172;6.223
1;2.4;15.000;0.000;12.038;10.945;1.168;6.213
1;2.5;15.000;0.000;12.039;10.935;1.168;6.208
1;2.6;15.000;0.000;12.040;10.916;1.167;6.198
1;2.7;15.000;0.000;12.039;10.902;1.171;6.189
1;2.8;15.000;0.000;12.042;10.884;1.171;6.181
1;2.9;15.000;0.000;12.046;10.866;1.166;6.172
1;3.0;15.000;0.000;12.044;10.857;1.167;6.166
1;3.1;15.000;0.000;12.045;10.833;1.169;6.153
1;3.2;15.000;0.000;12.045;10.824;1.169;6.148
1;3.3;15.000;0.000;12.049;10.810;1.168;6.142
1;3.4;15.000;0.000;12.054;10.789;1.165;6.133
1;3.5;15.000;0.000;12.052;10.779;1.165;6.126
1;3.6;15.000;0.000;12.057;10.757;1.167;6.116
1;3.7;15.000;0.000;12.059;10.747;1.163;6.111
1;3.8;15.000;0.000;12.061;10.727;1.163;6.101
1;3.9;15.000;0.000;12.059;10.719;1.166;6.096
1;4.0;15.000;0.000;12.065;10.698;1.162;6.087
1;4.1;15.000;0.000;12.067;10.685;1.161;6.080
1;4.2;15.000;0.000;12.068;10.671;1.161;6.072
1;4.3;15.000;0.000;12.068;10.654;1.165;6.063
1;4.4;15.000;0.000;12.072;10.636;1.161;6.054
1;4.5;15.000;0.000;12.071;10.622;1.160;6.046
1;4.6;15.000;0.000;12.070;10.609;1.160;6.038
1;4.7;15.000;0.000;12.070;10.595;1.163;6.030
1;4.8;15.000;0.000;12.074;10.577;1.163;6.022
1;4.9;15.000;0.000;12.078;10.560;1.159;6.014
1;5.0;15.000;0.000;12.077;10.546;1.159;6.006
1;5.1;15.000;0.000;12.077;10.533;1.158;5.999
1;5.2;15.000;0.000;12.080;10.519;1.158;5.992
