[Header]
SN;690
SN Date;25.03.2026
SN Time;13:00:43
UID;BARCODEREADER
Test Result;OK
Test Date;25.03.2026
Test Time;13:00:46
Report Date;25.03.2026
Report Time;13:03:29
Recipe;Injector

[Conveyor]
PN;400903-00293A
SN;123456-00001
Result;1
$Table
Station;Result;
;;
1 - Pressing;0;
2 - Assembly;0;
3 - Pressing;0;
4 - Adjustment;0;
5 - Helium;0;
6 - Crimping;0;
7 - EOL;0;
8 - HV;0;
9 - Laser marking;0;
10 - Packaging;0;

[Measurement]
PS-He1 [mBar];14,662;
PS-N2 [mBar];269;

Leakrate Background [1.0E-09];0.304884;9.6 [s];
Leakrate1/AVG [1.0E-09];0.5102058;0.5796708;17.6 [s];
Leakrate2/AVG [1.0E-09];1.129924;1.211668;74.0 [s];
Leakrate Max [1.0E-09];1.129924;
Linear k [1.0E-09];1.120562E-02
Linear q [1.0E-09];0.3824518
Leakrate [1.0E-09];11.58807;1,000.0 [s];

[Results]
$Table
Name;Value;Min;Max;Result;Elapsed;
;;;;;[sec];
Step 2 - VACUUM Ps-V1 [mBar];2.778693E-02;0;0.05;1;21.8;
Step 2 - VACUUM Ps-V2 [mBar];1.801306E-02;0;0.03;1;21.8;
Step 2 - VACUUM Ps-V3 [mBar];1.485982E-02;0;0.015;1;21.8;
Step 2 - VACUUM Ps-He2 [mBar];-25.60767;-50;50;1;21.8;
Step 3 - LEAKAGE Ps-V3 [mBar];1.133418E-02;0;0.016;1;28.0;
Step 3 - LEAKAGE Ps-He2 [mBar];-993.4896;0;-980;1;28.0;
Step 4 - LEAKAGE LDS1 Leakage-Bck [1E-9];0.3812771;0;100;1;40.5;
Step 5 - LEAKAGE LDS2 Ps-He2;14342.88;100;15500;1;46.2;
Step 5 - LEAKAGE LDS2 Leakage-1 [1E-9];0.5796708;0;1000;1;114.5;
Step 6 - LEAKAGE LDS3 Leakage-2 [1E-9];1.211668;0;500;1;114.5;
Step 7 - LEAKAGE_LDS4 Leakage [1E-9];11.58807;-500;500;1;114.5;
Step 7 - LEAKAGE LDS4 Leakage-Max [1E-9];1.129924;0;500;1;114.5;
Step 7 - LEAKAGE LDS4 Ps-He2;-25.60767;-50;50;1;114.5;
Step 8 - VACUUM Ps-V1 [mBar];3.570593E-02;0;0.05;1;122.6;
Step 8 - VACUUM Ps-V2 [mBar];1.89312E-03;0;0.03;1;122.6;
Step 8 - VACUUM Ps-V3 [mBar];1.964344E-03;0;0.015;1;122.6;
Step 8 - VACUUM Ps-He2 [mBar];-995.6597;0;-980;1;122.6;
Step 9 - AIR Ps-V1 [mBar];981.7994;950;1050;1;129.1;
Step 9 - AIR Ps-V2 [mBar];1001.719;950;1050;1;129.1;
Step 9 - AIR Ps-V3 [mBar];1001.719;950;1050;1;129.1;
Step 9 - AIR Ps-He2 [mBar];-23.43756;-50;50;1;129.1;
Step 10 - VACUUM Ps-V1 [mBar];4.555592E-02;0;0.05;1;141.8;
Step 10 - VACUUM Ps-V2 [mBar];0.01464;0;0.03;1;141.8;
Step 10 - VACUUM Ps-V3 [mBar];1.233024E-02;0;0.015;1;141.8;
Step 10 - VACUUM Ps-He2 [mBar];-995.6597;0;-980;1;141.8;
Step 11 - AIR Ps-V1 [mBar];982.4351;950;1050;1;144.9;
Step 11 - AIR Ps-V2 [mBar];977.9908;950;1050;1;144.9;
Step 11 - AIR Ps-V3 [mBar];978.624;950;1050;1;144.9;
Step 11 - AIR Ps-He2 [mBar];-25.60767;-50;50;1;144.9;

[Leakrate]
NbOfSamples;425
$Table
Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
0.0;7.612416E-02;0.002;0.107;0.014;0.011;0;0;
0.2;7.566878E-02;0.007;0.099;0.012;0.008;0;0;
0.4;0.0700687;0.002;0.093;0.010;0.006;0;0;
0.6;6.889428E-02;0.007;0.087;0.009;0.005;0;0;
0.8;6.940117E-02;0.011;0.083;0.008;0.005;0;0;
1.0;7.139148E-02;0.004;0.078;0.007;0.004;0;0;
1.2;7.416989E-02;0.004;0.075;0.007;0.004;0;0;
1.4;7.636333E-02;0.002;0.071;0.006;0.004;0;0;
1.6;7.922594E-02;0.004;0.068;0.006;0.003;0;0;
1.8;8.347553E-02;0.004;0.066;0.006;0.003;0;0;
2.0;8.430322E-02;0.002;0.063;0.005;0.003;0;0;
2.2;8.476612E-02;0.002;0.061;0.005;0.003;0;0;
2.4;8.640945E-02;0.007;0.058;0.005;0.003;0;0;
2.6;8.866414E-02;0.009;0.056;0.005;0.003;0;0;
2.8;8.947294E-02;0.002;0.055;0.005;0.003;0;0;
3.0;0.0945707;0.004;0.053;0.004;0.003;0;0;
3.2;9.512033E-02;0.007;0.052;0.004;0.002;0;0;
3.4;9.574066E-02;0.004;0.050;0.004;0.002;0;0;
3.6;9.938799E-02;0.007;0.049;0.004;0.002;0;0;
3.8;0.1072173;0.004;0.048;0.004;0.002;0;0;
4.0;0.1170176;0.011;0.047;0.004;0.002;0;0;
4.2;0.1287409;0.007;0.046;0.004;0.002;0;0;
4.4;0.1346918;0.007;0.045;0.004;0.002;0;0;
4.6;0.1386557;0.007;0.044;0.004;0.002;0;0;
4.8;0.1423756;0.007;0.043;0.004;0.002;0;0;
5.0;0.1474522;0.002;0.042;0.003;0.002;0;0;
5.2;0.1556424;0.007;0.042;0.003;0.002;0;0;
5.4;0.1688198;0.004;0.041;0.003;0.002;0;0;
5.6;0.1834909;0.007;0.040;0.003;0.002;0;0;
5.8;0.1899837;0.002;0.040;0.003;0.002;0;0;
6.0;0.1942778;0.007;0.039;0.003;0.002;0;0;
6.2;0.1975837;0.004;0.038;0.003;0.002;0;0;
6.4;0.2011465;0.002;0.038;0.003;0.002;0;0;
6.6;0.2071708;0.002;0.037;0.003;0.002;0;0;
6.8;0.2152812;0.002;0.036;0.003;0.002;0;0;
7.0;0.2230077;0.007;0.035;0.003;0.002;0;0;
7.2;0.231256;0.004;0.034;0.003;0.002;0;0;
7.4;0.240131;0.004;0.033;0.003;0.002;0;0;
7.6;0.2446462;0.002;0.032;0.003;0.002;0;0;
7.8;0.2488324;0.002;0.031;0.003;0.002;0;0;
8.0;0.2546979;0.007;0.031;0.003;0.002;0;0;
8.2;0.2622945;0.004;0.030;0.003;0.002;0;0;
8.4;0.2723433;0.009;0.029;0.003;0.002;0;0;
8.6;0.2842473;0.002;0.029;0.003;0.002;0;0;
8.8;0.2882275;0.007;0.028;0.003;0.002;0;0;
9.0;0.291052;0.004;0.028;0.003;0.002;0;0;
9.2;0.2939388;0.002;0.027;0.003;0.002;0;0;
9.4;0.2970245;0.002;0.027;0.003;0.002;0;0;
9.6;0.304884;0.004;0.026;0.003;0.002;0;0;
9.8;0.3160528;0.004;0.026;0.003;0.002;0;0;
10.0;0.3252457;0.004;0.026;0.003;0.001;0;0;
10.2;0.3323649;0.002;0.025;0.003;0.001;0;0;
10.4;0.3364619;0.004;0.025;0.003;0.001;0;0;
10.6;0.3394295;0.002;0.025;0.003;0.001;0;0;
10.8;0.3428282;0.011;0.024;0.003;0.001;0;0;
11.0;0.3465056;0.002;0.024;0.003;0.001;0;0;
