[Header]
SN;671
SN Date;25.03.2026
SN Time;13:11:49
UID;BARCODEREADER
Test Result;OK
Test Date;25.03.2026
Test Time;13:11:55
Report Date;25.03.2026
Report Time;13:14:39
Recipe;Injector

[Conveyor]
PN;400903-00293A
SN;123456-00001
Result;1
$Table
Station;Result;
;;
1 - Pressing;0;
2 - Assembly;0;
3 - Pressing;0;
4 - Adjustment;0;
5 - Helium;0;
6 - Crimping;0;
7 - EOL;0;
8 - HV;0;
9 - Laser marking;0;
10 - Packaging;0;

[Measurement]
PS-He1 [mBar];14,667;
PS-N2 [mBar];269;

Leakrate Background [1.0E-09];0.3904369;9.6 [s];
Leakrate1/AVG [1.0E-09];0.661345;0.7536651;17.6 [s];
Leakrate2/AVG [1.0E-09];1.466625;1.579842;74.0 [s];
Leakrate Max [1.0E-09];1.466625;
Linear k [1.0E-09];1.464852E-02
Linear q [1.0E-09];0.4958512
Leakrate [1.0E-09];15.14437;1,000.0 [s];

[Results]
$Table
Name;Value;Min;Max;Result;Elapsed;
;;;;;[sec];
Step 2 - VACUUM Ps-V1 [mBar];2.966615E-02;0;0.05;1;23.4;
Step 2 - VACUUM Ps-V2 [mBar];0.0181419;0;0.03;1;23.4;
Step 2 - VACUUM Ps-V3 [mBar];1.490803E-02;0;0.015;1;23.4;
Step 2 - VACUUM Ps-He2 [mBar];-25.60767;-50;50;1;23.4;
Step 3 - LEAKAGE Ps-V3 [mBar];1.163178E-02;0;0.016;1;29.5;
Step 3 - LEAKAGE Ps-He2 [mBar];-997.8298;0;-980;1;29.5;
Step 4 - LEAKAGE LDS1 Leakage-Bck [1E-9];0.5083473;0;100;1;42.1;
Step 5 - LEAKAGE LDS2 Ps-He2;14340.71;100;15500;1;47.8;
Step 5 - LEAKAGE LDS2 Leakage-1 [1E-9];0.7536651;0;1000;1;116.1;
Step 6 - LEAKAGE LDS3 Leakage-2 [1E-9];1.579842;0;500;1;116.1;
Step 7 - LEAKAGE_LDS4 Leakage [1E-9];15.14437;-500;500;1;116.1;
Step 7 - LEAKAGE LDS4 Leakage-Max [1E-9];1.466625;0;500;1;116.1;
Step 7 - LEAKAGE LDS4 Ps-He2;-21.2674;-50;50;1;116.1;
Step 8 - VACUUM Ps-V1 [mBar];3.610137E-02;0;0.05;1;124.3;
Step 8 - VACUUM Ps-V2 [mBar];2.017227E-03;0;0.03;1;124.3;
Step 8 - VACUUM Ps-V3 [mBar];2.164846E-03;0;0.015;1;124.3;
Step 8 - VACUUM Ps-He2 [mBar];-993.4896;0;-980;1;124.3;
Step 9 - AIR Ps-V1 [mBar];983.0717;950;1050;1;130.8;
Step 9 - AIR Ps-V2 [mBar];1001.719;950;1050;1;130.8;
Step 9 - AIR Ps-V3 [mBar];1001.719;950;1050;1;130.8;
Step 9 - AIR Ps-He2 [mBar];-21.2674;-50;50;1;130.8;
Step 10 - VACUUM Ps-V1 [mBar];4.564453E-02;0;0.05;1;143.9;
Step 10 - VACUUM Ps-V2 [mBar];1.410917E-02;0;0.03;1;143.9;
Step 10 - VACUUM Ps-V3 [mBar];1.184473E-02;0;0.015;1;143.9;
Step 10 - VACUUM Ps-He2 [mBar];-997.8298;0;-980;1;143.9;
Step 11 - AIR Ps-V1 [mBar];982.4351;950;1050;1;147.1;
Step 11 - AIR Ps-V2 [mBar];977.9908;950;1050;1;147.1;
Step 11 - AIR Ps-V3 [mBar];980.5271;950;1050;1;147.1;
Step 11 - AIR Ps-He2 [mBar];-23.43756;-50;50;1;147.1;

[Leakrate]
NbOfSamples;425
$Table
Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
0.0;6.391632E-02;0.004;0.109;0.014;0.011;0;0;
0.2;6.438697E-02;0.007;0.101;0.013;0.008;0;0;
0.4;6.483178E-02;0.009;0.095;0.011;0.006;0;0;
0.6;0.0667191;0.009;0.089;0.009;0.005;0;0;
0.8;6.934592E-02;0.007;0.085;0.008;0.005;0;0;
1.0;7.134385E-02;0.004;0.080;0.008;0.004;0;0;
1.2;7.508317E-02;0.002;0.077;0.007;0.004;0;0;
1.4;8.077295E-02;0.004;0.073;0.006;0.004;0;0;
1.6;8.341428E-02;0.004;0.070;0.006;0.003;0;0;
1.8;8.393113E-02;0.007;0.068;0.006;0.003;0;0;
2.0;0.0867992;0.007;0.065;0.006;0.003;0;0;
2.2;9.253944E-02;0.004;0.063;0.005;0.003;0;0;
2.4;9.676117E-02;0.002;0.061;0.005;0.003;0;0;
2.6;9.918398E-02;0.004;0.059;0.005;0.003;0;0;
2.8;9.975097E-02;0.002;0.057;0.005;0.003;0;0;
3.0;0.1002441;0.002;0.055;0.005;0.003;0;0;
3.2;0.1026536;0.004;0.054;0.005;0.003;0;0;
3.4;0.1110075;0.004;0.052;0.004;0.003;0;0;
3.6;0.1240867;0.007;0.051;0.004;0.002;0;0;
3.8;0.1382019;0.007;0.050;0.004;0.002;0;0;
4.0;0.1473906;0.009;0.049;0.004;0.002;0;0;
4.2;0.1524011;0.002;0.048;0.004;0.002;0;0;
4.4;0.1554447;0.002;0.047;0.004;0.002;0;0;
4.6;0.1578151;0.004;0.046;0.004;0.002;0;0;
4.8;0.1653308;0.002;0.045;0.004;0.002;0;0;
5.0;0.1751556;0.004;0.045;0.004;0.002;0;0;
5.2;0.1928861;0.002;0.044;0.004;0.002;0;0;
5.4;0.2060722;0.002;0.043;0.004;0.002;0;0;
5.6;0.2111803;0.004;0.042;0.004;0.002;0;0;
5.8;0.2167905;0.011;0.042;0.004;0.002;0;0;
6.0;0.2211931;0.004;0.041;0.003;0.002;0;0;
6.2;0.2269097;0.004;0.041;0.003;0.002;0;0;
6.4;0.242599;0.004;0.040;0.003;0.002;0;0;
6.6;0.2587007;0.007;0.039;0.003;0.002;0;0;
6.8;0.2717701;0.004;0.038;0.003;0.002;0;0;
7.0;0.279049;0.004;0.037;0.003;0.002;0;0;
7.2;0.2834359;0.004;0.036;0.003;0.002;0;0;
7.4;0.2878478;0.004;0.035;0.003;0.002;0;0;
7.6;0.2921587;0.002;0.034;0.003;0.002;0;0;
7.8;0.2996704;0.002;0.034;0.003;0.002;0;0;
8.0;0.3087398;0.004;0.033;0.003;0.002;0;0;
8.2;0.321243;0.002;0.032;0.003;0.002;0;0;
8.4;0.3299996;0.007;0.031;0.003;0.002;0;0;
8.6;0.3352971;0.002;0.031;0.003;0.002;0;0;
8.8;0.3398176;0.002;0.030;0.003;0.002;0;0;
9.0;0.345222;0.002;0.030;0.003;0.002;0;0;
9.2;0.3577099;0.002;0.029;0.003;0.002;0;0;
9.4;0.3752581;0.004;0.029;0.003;0.002;0;0;
9.6;0.3904369;0.002;0.028;0.003;0.002;0;0;
9.8;0.3982126;0.002;0.028;0.003;0.002;0;0;
10.0;0.4026435;0.002;0.028;0.003;0.002;0;0;
10.2;0.406416;0.002;0.027;0.003;0.002;0;0;
10.4;0.4120759;0.004;0.027;0.003;0.002;0;0;
10.6;0.4232804;0.007;0.027;0.003;0.002;0;0;
10.8;0.4360251;0.002;0.027;0.003;0.002;0;0;
11.0;0.4506754;0.002;0.026;0.003;0.002;0;0;
11.2;0.4631955;0.007;0.026;0.003;0.001;0;0;
