[Header]
SN;709
SN Date;25.03.2026
SN Time;13:14:53
UID;BARCODEREADER
Test Result;OK
Test Date;25.03.2026
Test Time;13:14:55
Report Date;25.03.2026
Report Time;13:17:36
Recipe;Injector

[Conveyor]
PN;400903-00293A
SN;123456-00001
Result;1
$Table
Station;Result;
;;
1 - Pressing;0;
2 - Assembly;0;
3 - Pressing;0;
4 - Adjustment;0;
5 - Helium;0;
6 - Crimping;0;
7 - EOL;0;
8 - HV;0;
9 - Laser marking;0;
10 - Packaging;0;

[Measurement]
PS-He1 [mBar];14,657;
PS-N2 [mBar];269;

Leakrate Background [1.0E-09];0.3410331;9.6 [s];
Leakrate1/AVG [1.0E-09];0.5546266;0.6258182;17.6 [s];
Leakrate2/AVG [1.0E-09];1.186548;1.271108;74.0 [s];
Leakrate Max [1.0E-09];1.186548;
Linear k [1.0E-09];1.144131E-02
Linear q [1.0E-09];0.4244512
Leakrate [1.0E-09];11.86576;1,000.0 [s];

[Results]
$Table
Name;Value;Min;Max;Result;Elapsed;
;;;;;[sec];
Step 2 - VACUUM Ps-V1 [mBar];2.702344E-02;0;0.05;1;21.5;
Step 2 - VACUUM Ps-V2 [mBar];1.795479E-02;0;0.03;1;21.5;
Step 2 - VACUUM Ps-V3 [mBar];1.484056E-02;0;0.015;1;21.5;
Step 2 - VACUUM Ps-He2 [mBar];-25.60767;-50;50;1;21.5;
Step 3 - LEAKAGE Ps-V3 [mBar];1.116653E-02;0;0.016;1;27.7;
Step 3 - LEAKAGE Ps-He2 [mBar];-993.4896;0;-980;1;27.7;
Step 4 - LEAKAGE LDS1 Leakage-Bck [1E-9];0.4203649;0;100;1;40.2;
Step 5 - LEAKAGE LDS2 Ps-He2;14349.39;100;15500;1;45.9;
Step 5 - LEAKAGE LDS2 Leakage-1 [1E-9];0.6258182;0;1000;1;114.2;
Step 6 - LEAKAGE LDS3 Leakage-2 [1E-9];1.271108;0;500;1;114.2;
Step 7 - LEAKAGE_LDS4 Leakage [1E-9];11.86576;-500;500;1;114.2;
Step 7 - LEAKAGE LDS4 Leakage-Max [1E-9];1.186548;0;500;1;114.2;
Step 7 - LEAKAGE LDS4 Ps-He2;-25.60767;-50;50;1;114.2;
Step 8 - VACUUM Ps-V1 [mBar];3.533766E-02;0;0.05;1;122.2;
Step 8 - VACUUM Ps-V2 [mBar];1.788198E-03;0;0.03;1;122.2;
Step 8 - VACUUM Ps-V3 [mBar];1.932781E-03;0;0.015;1;122.2;
Step 8 - VACUUM Ps-He2 [mBar];-995.6597;0;-980;1;122.2;
Step 9 - AIR Ps-V1 [mBar];981.7994;950;1050;1;128.8;
Step 9 - AIR Ps-V2 [mBar];1001.719;950;1050;1;128.8;
Step 9 - AIR Ps-V3 [mBar];1001.719;950;1050;1;128.8;
Step 9 - AIR Ps-He2 [mBar];-23.43756;-50;50;1;128.8;
Step 10 - VACUUM Ps-V1 [mBar];0.045438;0;0.05;1;141.3;
Step 10 - VACUUM Ps-V2 [mBar];1.461157E-02;0;0.03;1;141.3;
Step 10 - VACUUM Ps-V3 [mBar];1.229833E-02;0;0.015;1;141.3;
Step 10 - VACUUM Ps-He2 [mBar];-993.4896;0;-980;1;141.3;
Step 11 - AIR Ps-V1 [mBar];983.0717;950;1050;1;144.5;
Step 11 - AIR Ps-V2 [mBar];976.7234;950;1050;1;144.5;
Step 11 - AIR Ps-V3 [mBar];979.2581;950;1050;1;144.5;
Step 11 - AIR Ps-He2 [mBar];-25.60767;-50;50;1;144.5;

[Leakrate]
NbOfSamples;425
$Table
Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
0.0;0.1151091;0.007;0.107;0.013;0.011;0;0;
0.2;0.1143234;0.007;0.100;0.012;0.008;0;0;
0.4;0.1152631;0.002;0.092;0.010;0.006;0;0;
0.6;0.1165297;0.007;0.087;0.009;0.005;0;0;
0.8;0.1191424;0.002;0.082;0.008;0.005;0;0;
1.0;0.1230519;0.002;0.078;0.007;0.004;0;0;
1.2;0.1264626;0.007;0.074;0.007;0.004;0;0;
1.4;0.1299265;0.002;0.070;0.006;0.004;0;0;
1.6;0.1319226;0.007;0.068;0.006;0.003;0;0;
1.8;0.1358567;0.007;0.065;0.005;0.003;0;0;
2.0;0.1387621;0.004;0.062;0.005;0.003;0;0;
2.2;0.1397455;0.004;0.060;0.005;0.003;0;0;
2.4;0.1443479;0.004;0.058;0.005;0.003;0;0;
2.6;0.1438685;0.002;0.056;0.005;0.003;0;0;
2.8;0.1441456;0.002;0.054;0.004;0.003;0;0;
3.0;0.1460622;0.004;0.052;0.004;0.003;0;0;
3.2;0.151667;0.007;0.051;0.004;0.002;0;0;
3.4;0.1596845;0.004;0.050;0.004;0.002;0;0;
3.6;0.1636879;0.007;0.048;0.004;0.002;0;0;
3.8;0.1671254;0.004;0.047;0.004;0.002;0;0;
4.0;0.170337;0.002;0.046;0.004;0.002;0;0;
4.2;0.1733591;0.007;0.045;0.004;0.002;0;0;
4.4;0.1761541;0.002;0.044;0.004;0.002;0;0;
4.6;0.1810599;0.002;0.043;0.004;0.002;0;0;
4.8;0.1894405;0.002;0.042;0.003;0.002;0;0;
5.0;0.2008585;0.007;0.042;0.003;0.002;0;0;
5.2;0.206908;0.002;0.041;0.003;0.002;0;0;
5.4;0.2104626;0.002;0.040;0.003;0.002;0;0;
5.6;0.2146869;0.002;0.039;0.003;0.002;0;0;
5.8;0.2208212;0.004;0.039;0.003;0.002;0;0;
6.0;0.2324284;0.004;0.038;0.003;0.002;0;0;
6.2;0.2452239;0.002;0.038;0.003;0.002;0;0;
6.4;0.2558203;0.007;0.037;0.003;0.002;0;0;
6.6;0.2599633;0.004;0.036;0.003;0.002;0;0;
6.8;0.2632916;0.004;0.035;0.003;0.002;0;0;
7.0;0.2666249;0.007;0.034;0.003;0.002;0;0;
7.2;0.2712175;0.002;0.033;0.003;0.002;0;0;
7.4;0.2782075;0.009;0.032;0.003;0.002;0;0;
7.6;0.2868009;0.007;0.031;0.003;0.002;0;0;
7.8;0.2950173;0.007;0.030;0.003;0.002;0;0;
8.0;0.2993292;0.007;0.030;0.003;0.002;0;0;
8.2;0.3024746;0.002;0.029;0.003;0.002;0;0;
8.4;0.3058236;0.007;0.028;0.003;0.002;0;0;
8.6;0.3109862;0.007;0.028;0.003;0.001;0;0;
8.8;0.31813;0.004;0.027;0.003;0.002;0;0;
9.0;0.3254226;0.002;0.027;0.003;0.002;0;0;
9.2;0.333104;0.007;0.026;0.003;0.002;0;0;
9.4;0.3376696;0.004;0.026;0.003;0.002;0;0;
9.6;0.3410331;0.002;0.025;0.003;0.001;0;0;
9.8;0.3438411;0.002;0.025;0.003;0.001;0;0;
10.0;0.3462255;0.007;0.025;0.003;0.001;0;0;
10.2;0.3499233;0.004;0.024;0.003;0.001;0;0;
10.4;0.3561877;0.004;0.024;0.003;0.001;0;0;
10.6;0.368241;0.002;0.024;0.003;0.001;0;0;
10.8;0.3745381;0.002;0.024;0.003;0.001;0;0;
11.0;0.3776744;0.002;0.023;0.003;0.001;0;0;
11.2;0.3807825;0.002;0.023;0.002;0.001;0;0;
11.4;0.3846404;0.007;0.023;0.002;0.001;0;0;
