[Header]
SN;789
SN Date;25.03.2026
SN Time;13:18:04
UID;BARCODEREADER
Test Result;OK
Test Date;25.03.2026
Test Time;13:18:07
Report Date;25.03.2026
Report Time;13:20:48
Recipe;Injector

[Conveyor]
PN;400903-00293A
SN;123456-00001
Result;1
$Table
Station;Result;
;;
1 - Pressing;0;
2 - Assembly;0;
3 - Pressing;0;
4 - Adjustment;0;
5 - Helium;0;
6 - Crimping;0;
7 - EOL;0;
8 - HV;0;
9 - Laser marking;0;
10 - Packaging;0;

[Measurement]
PS-He1 [mBar];14,658;
PS-N2 [mBar];269;

Leakrate Background [1.0E-09];0.3020153;9.6 [s];
Leakrate1/AVG [1.0E-09];0.4738017;0.5446249;17.6 [s];
Leakrate2/AVG [1.0E-09];1.121848;1.198624;74.0 [s];
Leakrate Max [1.0E-09];1.121848;
Linear k [1.0E-09];1.159573E-02
Linear q [1.0E-09];0.3405401
Leakrate [1.0E-09];11.93627;1,000.0 [s];

[Results]
$Table
Name;Value;Min;Max;Result;Elapsed;
;;;;;[sec];
Step 2 - VACUUM Ps-V1 [mBar];2.648606E-02;0;0.05;1;21.5;
Step 2 - VACUUM Ps-V2 [mBar];1.796643E-02;0;0.03;1;21.5;
Step 2 - VACUUM Ps-V3 [mBar];1.484056E-02;0;0.015;1;21.5;
Step 2 - VACUUM Ps-He2 [mBar];-25.60767;-50;50;1;21.5;
Step 3 - LEAKAGE Ps-V3 [mBar];0.0111593;0;0.016;1;27.7;
Step 3 - LEAKAGE Ps-He2 [mBar];-993.4896;0;-980;1;27.7;
Step 4 - LEAKAGE LDS1 Leakage-Bck [1E-9];0.3664224;0;100;1;40.2;
Step 5 - LEAKAGE LDS2 Ps-He2;14340.71;100;15500;1;45.9;
Step 5 - LEAKAGE LDS2 Leakage-1 [1E-9];0.5446249;0;1000;1;114.2;
Step 6 - LEAKAGE LDS3 Leakage-2 [1E-9];1.198624;0;500;1;114.2;
Step 7 - LEAKAGE_LDS4 Leakage [1E-9];11.93627;-500;500;1;114.2;
Step 7 - LEAKAGE LDS4 Leakage-Max [1E-9];1.121848;0;500;1;114.2;
Step 7 - LEAKAGE LDS4 Ps-He2;-21.2674;-50;50;1;114.2;
Step 8 - VACUUM Ps-V1 [mBar];3.513221E-02;0;0.05;1;122.2;
Step 8 - VACUUM Ps-V2 [mBar];1.803324E-03;0;0.03;1;122.2;
Step 8 - VACUUM Ps-V3 [mBar];1.904192E-03;0;0.015;1;122.2;
Step 8 - VACUUM Ps-He2 [mBar];-997.8298;0;-980;1;122.2;
Step 9 - AIR Ps-V1 [mBar];982.4351;950;1050;1;128.8;
Step 9 - AIR Ps-V2 [mBar];1001.719;950;1050;1;128.8;
Step 9 - AIR Ps-V3 [mBar];1001.719;950;1050;1;128.8;
Step 9 - AIR Ps-He2 [mBar];-25.60767;-50;50;1;128.8;
Step 10 - VACUUM Ps-V1 [mBar];4.517379E-02;0;0.05;1;141.2;
Step 10 - VACUUM Ps-V2 [mBar];1.418251E-02;0;0.03;1;141.2;
Step 10 - VACUUM Ps-V3 [mBar];1.196816E-02;0;0.015;1;141.2;
Step 10 - VACUUM Ps-He2 [mBar];-997.8298;0;-980;1;141.2;
Step 11 - AIR Ps-V1 [mBar];983.0717;950;1050;1;144.4;
Step 11 - AIR Ps-V2 [mBar];976.7234;950;1050;1;144.4;
Step 11 - AIR Ps-V3 [mBar];979.8922;950;1050;1;144.4;
Step 11 - AIR Ps-He2 [mBar];-27.77783;-50;50;1;144.4;

[Leakrate]
NbOfSamples;425
$Table
Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
0.0;0.1122896;0.007;0.107;0.014;0.011;0;0;
0.2;0.1120559;0.002;0.099;0.013;0.008;0;0;
0.4;0.1121938;0.002;0.092;0.011;0.007;0;0;
0.6;0.1117288;0.002;0.087;0.009;0.006;0;0;
0.8;9.249149E-02;0.007;0.081;0.008;0.005;0;0;
1.0;9.647751E-02;0.007;0.077;0.007;0.004;0;0;
1.2;0.1003725;0.002;0.073;0.007;0.004;0;0;
1.4;0.1038681;0.002;0.070;0.006;0.004;0;0;
1.6;0.1047872;0.007;0.067;0.006;0.003;0;0;
1.8;0.1060122;0.004;0.064;0.005;0.003;0;0;
2.0;0.1082987;0.009;0.062;0.005;0.003;0;0;
2.2;0.1100117;0.004;0.059;0.005;0.003;0;0;
2.4;0.1107998;0.004;0.057;0.005;0.003;0;0;
2.6;0.11196;0.007;0.055;0.005;0.003;0;0;
2.8;0.1123435;0.007;0.053;0.004;0.003;0;0;
3.0;0.112407;0.007;0.052;0.004;0.003;0;0;
3.2;0.1153688;0.004;0.050;0.004;0.002;0;0;
3.4;0.1233386;0.007;0.049;0.004;0.002;0;0;
3.6;0.1329109;0.004;0.048;0.004;0.002;0;0;
3.8;0.1380522;0.002;0.047;0.004;0.002;0;0;
4.0;0.1411868;0.002;0.045;0.004;0.002;0;0;
4.2;0.1448786;0.002;0.044;0.004;0.002;0;0;
4.4;0.1484352;0.013;0.043;0.004;0.002;0;0;
4.6;0.152031;0.002;0.042;0.004;0.002;0;0;
4.8;0.1586615;0.009;0.042;0.003;0.002;0;0;
5.0;0.16497;0.004;0.041;0.003;0.002;0;0;
5.2;0.1697764;0.007;0.040;0.003;0.002;0;0;
5.4;0.1736603;0.007;0.039;0.003;0.002;0;0;
5.6;0.1770636;0.009;0.039;0.003;0.002;0;0;
5.8;0.181586;0.007;0.038;0.003;0.002;0;0;
6.0;0.189978;0.002;0.037;0.003;0.002;0;0;
6.2;0.2064453;0.004;0.037;0.003;0.002;0;0;
6.4;0.2224535;0.002;0.036;0.003;0.002;0;0;
6.6;0.2312934;0.004;0.036;0.003;0.002;0;0;
6.8;0.2354501;0.004;0.035;0.003;0.002;0;0;
7.0;0.239003;0.004;0.034;0.003;0.002;0;0;
7.2;0.2422063;0.004;0.033;0.003;0.002;0;0;
7.4;0.2457916;0.004;0.032;0.003;0.002;0;0;
7.6;0.2536209;0.004;0.031;0.003;0.002;0;0;
7.8;0.2606357;0.009;0.030;0.003;0.002;0;0;
8.0;0.2663497;0.004;0.029;0.003;0.002;0;0;
8.2;0.2704591;0.007;0.028;0.003;0.002;0;0;
8.4;0.2731194;0.002;0.028;0.003;0.002;0;0;
8.6;0.2758596;0.002;0.027;0.003;0.001;0;0;
8.8;0.2794171;0.009;0.027;0.003;0.002;0;0;
9.0;0.2865837;0.002;0.026;0.003;0.002;0;0;
9.2;0.2917714;0.004;0.026;0.003;0.002;0;0;
9.4;0.2982062;0.004;0.025;0.003;0.002;0;0;
9.6;0.3020153;0.002;0.025;0.003;0.001;0;0;
9.8;0.3052542;0.002;0.024;0.003;0.001;0;0;
10.0;0.3079349;0.004;0.024;0.003;0.001;0;0;
10.2;0.3108782;0.002;0.024;0.003;0.001;0;0;
10.4;0.3157747;0.002;0.024;0.003;0.001;0;0;
10.6;0.32238;0.002;0.023;0.003;0.001;0;0;
10.8;0.3307762;0.004;0.023;0.003;0.001;0;0;
11.0;0.3346722;0.002;0.023;0.003;0.001;0;0;
11.2;0.3370819;0.004;0.022;0.002;0.001;0;0;
11.4;0.3394819;0.002;0.022;0.002;0.001;0;0;
11.6;0.3419548;0.007;0.022;0.002;0.001;0;0;
11.8;0.3484203;0.004;0.022;0.002;0.001;0;0;
12.0;0.3565292;0.004;0.022;0.002;0.001;0;0;
12.2;0.3636563;0.004;0.021;0.002;0.001;0;0;
12.4;0.3670575;0.004;0.021;0.002;0.001;1;0;
12.6;0.3695764;13.971;0.021;0.002;0.001;1;0;
12.8;0.3720436;15.050;0.020;0.002;0.001;1;0;
13.0;0.3751443;15.158;0.020;0.002;0.001;1;0;
13.2;0.3810657;15.208;0.020;0.002;0.001;1;0;
13.4;0.3897433;15.234;0.019;0.002;0.001;1;0;
13.6;0.3993494;15.256;0.019;0.002;0.001;1;0;
13.8;0.4051144;15.269;0.019;0.002;0.001;1;0;
14.0;0.4081435;15.276;0.019;0.002;0.001;1;0;
14.2;0.4104739;15.293;0.019;0.002;0.001;1;0;
14.4;0.4129615;15.297;0.018;0.002;0.001;1;0;
14.6;0.4160514;15.297;0.018;0.002;0.001;1;0;
14.8;0.4214571;15.306;0.018;0.002;0.001;1;0;
15.0;0.4266677;15.310;0.018;0.002;0.001;1;0;
15.2;0.4325915;15.313;0.018;0.002;0.001;1;0;
15.4;0.4351698;15.317;0.018;0.002;0.001;1;0;
15.6;0.4372073;15.321;0.018;0.002;0.001;1;0;
15.8;0.4396796;15.321;0.017;0.002;0.001;1;0;
16.0;0.4436445;15.323;0.017;0.002;0.001;1;0;
16.2;0.4493693;15.328;0.017;0.002;0.001;1;0;
16.4;0.4557327;15.326;0.017;0.002;0.001;1;0;
16.6;0.4597274;15.336;0.017;0.002;0.001;1;0;
16.8;0.4625691;15.339;0.017;0.002;0.001;1;0;
17.0;0.4650751;15.339;0.017;0.002;0.001;1;0;
17.2;0.4667857;15.339;0.017;0.002;0.001;1;0;
17.4;0.4689459;15.341;0.017;0.002;0.001;1;0;
17.6;0.4738017;15.339;0.016;0.002;0.001;1;0;
17.8;0.4820038;15.345;0.016;0.002;0.001;1;0;
18.0;0.4910379;15.347;0.016;0.002;0.001;1;0;
18.2;0.4947777;15.345;0.016;0.002;0.001;0;0;
18.4;0.4970808;15.343;0.016;0.002;0.001;0;0;
18.6;0.4992501;15.339;0.016;0.002;0.001;0;0;
18.8;0.5015027;15.341;0.016;0.002;0.001;0;0;
19.0;0.5065693;15.343;0.016;0.002;0.001;0;0;
19.2;0.5132706;15.343;0.016;0.002;0.001;0;0;
19.4;0.5204096;15.339;0.016;0.002;0.001;0;0;
19.6;0.5253006;15.339;0.016;0.002;0.001;0;0;
19.8;0.527406;15.343;0.015;0.002;0.001;0;0;
20.0;0.5290546;15.339;0.015;0.002;0.001;0;0;
20.2;0.5312939;15.341;0.015;0.002;0.001;0;0;
20.4;0.5353678;15.339;0.015;0.002;0.001;0;0;
20.6;0.5412454;15.341;0.015;0.002;0.001;0;0;
20.8;0.5494866;15.341;0.015;0.002;0.001;0;0;
21.0;0.5592397;15.339;0.015;0.002;0.001;0;0;
21.2;0.5619298;15.339;0.015;0.002;0.001;0;0;
21.4;0.5639918;15.339;0.015;0.002;0.001;0;0;
21.6;0.5661561;15.339;0.015;0.002;0.001;0;0;
21.8;0.5695366;15.339;0.015;0.002;0.001;0;0;
22.0;0.5740988;15.339;0.015;0.002;0.001;0;0;
22.2;0.5800651;15.339;0.015;0.002;0.001;0;0;
22.4;0.590066;15.341;0.015;0.002;0.001;0;0;
22.6;0.5948764;15.341;0.014;0.002;0.001;0;0;
22.8;0.5970926;15.339;0.014;0.002;0.001;0;0;
23.0;0.5998204;15.339;0.014;0.002;0.001;0;0;
23.2;0.6042789;15.334;0.014;0.002;0.001;0;0;
23.4;0.612233;15.339;0.014;0.002;0.001;0;0;
23.6;0.6230406;15.336;0.014;0.002;0.001;0;0;
23.8;0.629223;15.341;0.014;0.002;0.001;0;0;
24.0;0.6324659;15.339;0.014;0.002;0.001;0;0;
24.2;0.6354922;15.339;0.014;0.002;0.001;0;0;
24.4;0.6378504;15.339;0.014;0.002;0.001;0;0;
24.6;0.6420943;15.339;0.014;0.002;0.001;0;0;
24.8;0.6478397;15.332;0.014;0.002;0.001;0;0;
25.0;0.6558903;15.339;0.014;0.002;0.001;0;0;
25.2;0.6614411;15.339;0.014;0.002;0.001;0;0;
25.4;0.6643112;15.336;0.014;0.002;0.001;0;0;
25.6;0.6669151;15.339;0.014;0.002;0.001;0;0;
25.8;0.6681483;15.339;0.014;0.002;0.001;0;0;
26.0;0.6697808;15.336;0.013;0.002;0.001;0;0;
26.2;0.6727161;15.339;0.013;0.002;0.001;0;0;
26.4;0.6762579;15.339;0.013;0.002;0.001;0;0;
26.6;0.6809816;15.336;0.013;0.002;0.001;0;0;
26.8;0.6846081;15.334;0.013;0.002;0.001;0;0;
27.0;0.6866471;15.339;0.013;0.002;0.001;0;0;
27.2;0.6880567;15.336;0.013;0.002;0.001;0;0;
