[Header]
SN;955
SN Date;25.03.2026
SN Time;13:21:35
UID;BARCODEREADER
Test Result;OK
Test Date;25.03.2026
Test Time;13:21:38
Report Date;25.03.2026
Report Time;13:24:20
Recipe;Injector

[Conveyor]
PN;400903-00293A
SN;123456-00001
Result;1
$Table
Station;Result;
;;
1 - Pressing;0;
2 - Assembly;0;
3 - Pressing;0;
4 - Adjustment;0;
5 - Helium;0;
6 - Crimping;0;
7 - EOL;0;
8 - HV;0;
9 - Laser marking;0;
10 - Packaging;0;

[Measurement]
PS-He1 [mBar];14,660;
PS-N2 [mBar];269;

Leakrate Background [1.0E-09];0.3581511;9.6 [s];
Leakrate1/AVG [1.0E-09];0.5799727;0.6540253;17.6 [s];
Leakrate2/AVG [1.0E-09];1.245463;1.335973;74.0 [s];
Leakrate Max [1.0E-09];1.245463;
Linear k [1.0E-09];1.209127E-02
Linear q [1.0E-09];0.4412189
Leakrate [1.0E-09];12.53249;1,000.0 [s];

[Results]
$Table
Name;Value;Min;Max;Result;Elapsed;
;;;;;[sec];
Step 2 - VACUUM Ps-V1 [mBar];2.621289E-02;0;0.05;1;21.6;
Step 2 - VACUUM Ps-V2 [mBar];1.798973E-02;0;0.03;1;21.6;
Step 2 - VACUUM Ps-V3 [mBar];1.485019E-02;0;0.015;1;21.6;
Step 2 - VACUUM Ps-He2 [mBar];-21.2674;-50;50;1;21.6;
Step 3 - LEAKAGE Ps-V3 [mBar];0.0111593;0;0.016;1;27.8;
Step 3 - LEAKAGE Ps-He2 [mBar];-997.8298;0;-980;1;27.8;
Step 4 - LEAKAGE LDS1 Leakage-Bck [1E-9];0.4601506;0;100;1;40.3;
Step 5 - LEAKAGE LDS2 Ps-He2;14351.56;100;15500;1;46.0;
Step 5 - LEAKAGE LDS2 Leakage-1 [1E-9];0.6540253;0;1000;1;114.3;
Step 6 - LEAKAGE LDS3 Leakage-2 [1E-9];1.335973;0;500;1;114.3;
Step 7 - LEAKAGE_LDS4 Leakage [1E-9];12.53249;-500;500;1;114.3;
Step 7 - LEAKAGE LDS4 Leakage-Max [1E-9];1.245463;0;500;1;114.3;
Step 7 - LEAKAGE LDS4 Ps-He2;-23.43756;-50;50;1;114.3;
Step 8 - VACUUM Ps-V1 [mBar];3.490529E-02;0;0.05;1;122.3;
Step 8 - VACUUM Ps-V2 [mBar];1.81387E-03;0;0.03;1;122.3;
Step 8 - VACUUM Ps-V3 [mBar];1.83396E-03;0;0.015;1;122.3;
Step 8 - VACUUM Ps-He2 [mBar];-997.8298;0;-980;1;122.3;
Step 9 - AIR Ps-V1 [mBar];982.4351;950;1050;1;128.8;
Step 9 - AIR Ps-V2 [mBar];1001.719;950;1050;1;128.8;
Step 9 - AIR Ps-V3 [mBar];1001.719;950;1050;1;128.8;
Step 9 - AIR Ps-He2 [mBar];-23.43756;-50;50;1;128.8;
Step 10 - VACUUM Ps-V1 [mBar];0.0452617;0;0.05;1;141.2;
Step 10 - VACUUM Ps-V2 [mBar];1.402715E-02;0;0.03;1;141.2;
Step 10 - VACUUM Ps-V3 [mBar];1.184473E-02;0;0.015;1;141.2;
Step 10 - VACUUM Ps-He2 [mBar];-993.4896;0;-980;1;141.2;
Step 11 - AIR Ps-V1 [mBar];982.4351;950;1050;1;144.4;
Step 11 - AIR Ps-V2 [mBar];975.4594;950;1050;1;144.4;
Step 11 - AIR Ps-V3 [mBar];979.2581;950;1050;1;144.4;
Step 11 - AIR Ps-He2 [mBar];-23.43756;-50;50;1;144.4;

[Leakrate]
NbOfSamples;425
$Table
Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
0.0;0.1039994;0.007;0.109;0.014;0.011;0;0;
0.2;0.1044437;0.004;0.101;0.013;0.009;0;0;
0.4;0.1042247;0.004;0.094;0.011;0.007;0;0;
0.6;0.1063837;0.002;0.087;0.009;0.006;0;0;
0.8;0.1073741;0.002;0.082;0.008;0.005;0;0;
1.0;8.583055E-02;0.004;0.077;0.007;0.004;0;0;
1.2;8.795454E-02;0.002;0.074;0.007;0.004;0;0;
1.4;0.0930073;0.002;0.070;0.006;0.004;0;0;
1.6;9.622826E-02;0.004;0.068;0.006;0.003;0;0;
1.8;9.772199E-02;0.002;0.065;0.006;0.003;0;0;
2.0;0.1003943;0.002;0.062;0.005;0.003;0;0;
2.2;0.1030136;0.002;0.060;0.005;0.003;0;0;
2.4;0.104269;0.009;0.057;0.005;0.003;0;0;
2.6;0.1052572;0.007;0.055;0.005;0.003;0;0;
2.8;0.1020465;0.002;0.053;0.004;0.003;0;0;
3.0;0.1013444;0.007;0.052;0.004;0.003;0;0;
3.2;0.1025737;0.004;0.050;0.004;0.002;0;0;
3.4;0.1086342;0.002;0.049;0.004;0.002;0;0;
3.6;0.1240314;0.004;0.048;0.004;0.002;0;0;
3.8;0.1403285;0.004;0.047;0.004;0.002;0;0;
4.0;0.1496764;0.004;0.046;0.004;0.002;0;0;
4.2;0.1520181;0.004;0.045;0.004;0.002;0;0;
4.4;0.1515765;0.002;0.044;0.004;0.002;0;0;
4.6;0.1547505;0.002;0.043;0.004;0.002;0;0;
4.8;0.1657507;0.004;0.042;0.004;0.002;0;0;
5.0;0.1788492;0.002;0.041;0.003;0.002;0;0;
5.2;0.1895984;0.007;0.040;0.003;0.002;0;0;
5.4;0.193678;0.004;0.039;0.003;0.002;0;0;
5.6;0.1975694;0.007;0.039;0.003;0.002;0;0;
5.8;0.2010369;0.002;0.038;0.003;0.002;0;0;
6.0;0.206192;0.004;0.037;0.003;0.002;0;0;
6.2;0.217508;0.007;0.037;0.003;0.002;0;0;
6.4;0.2301377;0.002;0.036;0.003;0.002;0;0;
6.6;0.2464468;0.007;0.036;0.003;0.002;0;0;
6.8;0.2529691;0.002;0.035;0.003;0.002;0;0;
7.0;0.2580782;0.004;0.034;0.003;0.002;0;0;
7.2;0.261731;0.004;0.033;0.003;0.002;0;0;
7.4;0.2668089;0.004;0.032;0.003;0.002;0;0;
7.6;0.274362;0.004;0.031;0.003;0.002;0;0;
7.8;0.2836662;0.002;0.030;0.003;0.002;0;0;
8.0;0.2932156;0.002;0.029;0.003;0.002;0;0;
8.2;0.3004138;0.004;0.028;0.003;0.002;0;0;
8.4;0.3050934;0.004;0.028;0.003;0.002;0;0;
8.6;0.3091102;0.004;0.027;0.003;0.001;0;0;
8.8;0.313677;0.004;0.027;0.003;0.002;0;0;
9.0;0.323394;0.004;0.026;0.003;0.002;0;0;
9.2;0.3383442;0.004;0.026;0.003;0.002;0;0;
9.4;0.3514034;0.002;0.025;0.003;0.002;0;0;
9.6;0.3581511;0.002;0.025;0.003;0.001;0;0;
9.8;0.3637722;0.004;0.024;0.003;0.001;0;0;
10.0;0.3685437;0.002;0.024;0.003;0.001;0;0;
10.2;0.3739717;0.002;0.024;0.003;0.001;0;0;
10.4;0.383988;0.002;0.024;0.003;0.001;0;0;
10.6;0.3948914;0.004;0.023;0.003;0.001;0;0;
10.8;0.4063278;0.004;0.023;0.003;0.001;0;0;
11.0;0.4145733;0.002;0.023;0.003;0.001;0;0;
11.2;0.418572;0.002;0.022;0.002;0.001;0;0;
