[Header]
SN;S000955
SN Date;24.03.2026
SN Time;12:45:39
UID;BARCODEREADER
Test Result;OK
Test Date;
Test Time;
Report Date;24.03.2026
Report Time;12:46:39
Recipe;[2] - Solenoid Group

[Conveyor]
PN;1-265
SN;3-4
Result;0
$Table
Station;Result;
;;
1-press;1;
2-ass;2;
3-press;0;
4-adj;0;
5-helium;0;
6-crimp;0;
7-eol;2;
8-hv;0;
9-laser;0;
10-pck;1;

[Results]
$Table
Name;Value;Min;Max;Result;Elapsed;
;;;;;[sec];
Damper Avg;7.499733;7.45;7.55;1;0.0;
Damper Dev;8.633333E-03;0;0.1;1;0.0;
Camera Result;0;0;0;0;0.0;
Press MP-000;1;1;1;1;0.0;
Press Dev;8.85165E-03;0;0.04;1;0.0;
Press MP-001;0;0;0;0;0.0;
Package Avg;0;0;0;0;0.0;
Package Dev;0;0;0;0;0.0;
Press MP-002;1;1;1;1;0.0;
RAG Avg;0.1270667;0.11;0.13;1;0.0;
RAG Dev;3.058841E-02;0;0.04;1;0.0;
Press MP-003;0;0;0;0;0.0;
Press MP-004;0;0;0;0;0.0;
